region,main_island,total_approved_budget,median_savings,avg_delay,delayed_projects_pct,efficiency_score
National Capital Region,Luzon,37374807552.76997,323215.63999999966,275.13860103626945,99.87046632124353,100.0
Region X,Mindanao,21108791834.060005,109843.27499999851,363.88198757763973,100.0,25.696387450283403
Region VIII,Visayas,18757160567.23,60312.5,265.89486552567234,100.0,19.308855690114676
Region IX,Mindanao,4292690070.7200003,49019.73000000045,352.97849462365593,100.0,11.821751483905157
Region XII,Mindanao,11853038840.210001,12457.90000000596,274.45454545454544,100.0,3.8639684330313804
Region II,Luzon,22492433992.21,10000.0,256.7152466367713,100.0,3.315946343345513
Region IV-B,Luzon,22432789116.380005,2886.8400000035763,268.3951367781155,99.69604863221885,0.9156030466288335
Region III,Luzon,62517911971.78997,2244.009999997914,215.59814814814814,100.0,0.8860106024191357
Cordillera Administrative Region,Luzon,14557082197.870008,2443.455000001937,241.3716216216216,100.0,0.8617420672544757
Region I,Luzon,24127224108.760006,1819.7999999970198,229.36960276338516,98.61830742659758,0.6753780711410995
Region VI,Visayas,19178049284.749996,795.8100000023842,316.1620253164557,100.0,0.2142687540752733
Region IV-A,Luzon,34613010963.01999,635.7600000053644,256.6219686162625,99.85734664764621,0.21089123249567074
Region XIII,Mindanao,18686741373.37,202.64999999850988,329.9113924050633,100.0,0.05228877319765246
Region V,Luzon,42471531344.450035,87.14999999850988,238.49348958333334,100.0,0.03110641920612161
Region VII,Visayas,27449467562.050007,28.299999997019768,250.72591006423983,99.78586723768737,0.009608296055463672
Region XI,Mindanao,17878556404.670006,0.0,307.2091503267974,100.0,0.0
