rank,contractor,total_cost,num_projects,avg_delay,total_savings,reliability_index,risk_flag
1,PEARLCAST CONSTRUCTION & TRADING,4801495.3,1,14.0,148504.7000000002,96.16438356164383,Stable
2,MARTINEZ ENTERPRISES,4949993.18,1,22.0,6.820000000298023,93.97260273972603,Stable
3,"S-ANG CONSTRUCTION & GENERAL TRADING, INC.",25374833.66,3,26.0,791166.3399999999,92.87671232876713,Stable
4,PAGTAENGAN BUILDERS AND CONCRETE PRODUCTS,9799384.97,1,33.0,591.0,90.95890410958904,Stable
5,"JANRA8 BUILDERS AND CONSTRUCTION SUPPLY, INC.",3471370.0,1,41.0,2630.0,88.76712328767124,Stable
6,FDS CONSTRUCTION & SUPPLY,2970000.0,1,44.0,0.0,87.94520547945206,Stable
7,LATO BUILDERS,4702569.67,1,46.0,247430.33000000007,87.3972602739726,Stable
8,GRAM CONSTRUCTION AND SUPPLY,2845757.02,1,47.0,0.0,87.12328767123287,Stable
9,BEMA CONSTRUCTION AND GENERAL MERCHANDISE,4932515.0,1,48.0,5000.80999999959,86.84931506849315,Stable
10,MAI CONSTRUCTION & SUPPLY,7204183.54,2,48.0,0.0,86.84931506849315,Stable
11,LXS BUILDERS & SUPPLIES,19599995.26,1,48.0,4.739999998360872,86.84931506849315,Stable
12,ROCA BLANCA CONSTRUCTION,29398908.74,1,51.0,47.600000001490116,86.02739726027397,Stable
13,CHRISHUA CONSTRUCTION SERVICES,2937836.0,1,53.0,2164.0,85.47945205479452,Stable
14,CLEB CONSTRUCTION,2936230.11,1,54.0,3769.8900000001304,85.20547945205479,Stable
15,CEY BUILDERS,5934012.79,1,56.0,5987.209999999963,84.65753424657534,Critical
16,M.C. GERONIMO CONSTRUCTION AND TRADING,48256469.28,2,57.5,740392.5,84.24657534246575,Critical
17,RAPHAEIL CONSTRUCTION,4899991.63,1,58.0,7.3500000005587935,84.10958904109589,Critical
18,P.V.B. CONSTRUCTION AND DEVELOPMENT CORP.,4895353.6,1,59.0,4409.0800000000745,83.83561643835617,Critical
19,RA3N CONSTRUCTION AND SUPPLY,4848693.6,1,59.0,101147.18000000063,83.83561643835617,Critical
20,QUANTUMWAYS BUILDERS ROAD CONSTRUCTION,9644769.940000001,2,59.0,147832.97999999952,83.83561643835617,Critical
21,Z & G CONSTRUCTION SERVICES,4950000.0,1,60.0,0.0,83.56164383561644,Critical
22,SOLSONA-GANAL CONSTRUCTION & SUPPLY,8288961.56,1,64.0,10038.44000000041,82.46575342465754,Critical
23,RD5 CONSTRUCTION,31083133.0,6,64.0,409374.8799999971,82.46575342465754,Critical
24,RD8 BUILDERS CORPORATION UNDER THE NAME OF RD8 BUILDERS,108670297.08,2,67.5,1219702.9200000018,81.5068493150685,Critical
25,R.G. DIAZ BUILDERS & TRADING,9793241.05,1,68.0,3825.5099999997765,81.36986301369863,Critical
26,MEGA-ANT BUILDERS AND CONSTRUCTION SUPPLIES,24342613.84,5,69.8,406544.0499999998,80.87671232876713,Critical
27,ZERO ONE CONSTRUCTION AND SUPPLY,4941699.76,1,71.0,6813.7599999997765,80.54794520547945,Critical
